Health authority,HSDA,Local Health Areas,metric,2015,2015,2015,2015,2015,2015,2015,2015
Interior,Thompson Cariboo Shuswap,100 Mile House,"rate per 100,000",0,0,6.8,20.3,13.4,13.2,38.7,12.7
Fraser,Fraser East,Abbotsford,"rate per 100,000",17.3,26.4,34.9,25.7,27.5,38.7,51.4,52.1
Fraser,Fraser East,Agassiz/Harrison,"rate per 100,000",0,29.6,48.2,18.7,9.3,9.3,46.3,63.6
Island,Central Vancouver Island,Alberni/Clayoquot,"rate per 100,000",15.8,15.5,36.8,39.4,32.8,29.6,70.1,75.1
Interior,Okanagan,Armstrong/Spallumcheen,"rate per 100,000",0,9.4,0,9.2,0,27.4,18.2,9
Interior,Kootenay Boundary,Arrow Lakes,"rate per 100,000",44.5,0,21.3,42.1,21.1,41.6,40.6,40.3
VCH,North Shore/Coast Garibaldi,Bella Coola Valley,"rate per 100,000",Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed
Fraser,Fraser North,Burnaby,"rate per 100,000",5.8,16.4,17.8,19.5,11.4,22.1,31,25.6
Northern,Northern Interior,Burns Lake,"rate per 100,000",0,45.5,0,0,15.3,0,0,15.4
Interior,Thompson Cariboo Shuswap,Cariboo/Chilcotin,"rate per 100,000",7.8,15.5,27,34.6,11.5,38.3,38.2,64.5
Interior,Kootenay Boundary,Castlegar,"rate per 100,000",14.2,21,13.9,0,33.9,20.1,40.4,46.5
VCH,North Shore/Coast Garibaldi,Central Coast,"rate per 100,000",Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed
Interior,Okanagan,Central Okanagan,"rate per 100,000",12.6,26.8,43.7,31.8,19.2,35.3,37.1,39.2
Fraser,Fraser East,Chilliwack,"rate per 100,000",11.7,15.3,25.1,36.2,20.2,36.1,56.3,45.8
Island,North Vancouver Island,Comox Valley,"rate per 100,000",10.4,15.8,24.2,21,16.5,19,46.8,48.6
Island,Central Vancouver Island,Cowichan Valley North,"rate per 100,000",10.3,20.4,19.8,14.7,14.5,24,14.2,23.1
Island,Central Vancouver Island,Cowichan Valley South,"rate per 100,000",8.4,16.3,21.1,43.3,20.7,34.8,42.3,46.2
Island,Central Vancouver Island,Cowichan ValleyWest,"rate per 100,000",0,15.3,15.2,30,29.6,14.5,43.5,71.5
Interior,East Kootenay,Cranbrook,"rate per 100,000",7.4,7.3,10.9,7.2,0,35.5,60,38.3
Interior,East Kootenay,Creston,"rate per 100,000",0,7.6,0,0,0,7.5,15.1,22.4
Fraser,Fraser South,Delta,"rate per 100,000",5.6,10.1,18.4,19,12.6,17.8,18.3,20.6
Interior,Okanagan,Enderby,"rate per 100,000",13.5,13.2,13.1,51.6,0,63.8,88.3,24.9
Interior,East Kootenay,Fernie,"rate per 100,000",0,12.6,0,0,6,17.9,0,0
Northern,Northern Northeast,Fort Nelson,"rate per 100,000",Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,59.5,Surpressed
Interior,East Kootenay,Golden,"rate per 100,000",0,14,13.7,13.5,0,13.2,13,25.5
Interior,Kootenay Boundary,Grand Forks,"rate per 100,000",0,0,44.6,99.2,33.1,33.1,54.1,42.9
Island,North Vancouver Island,Greater Campbell River,"rate per 100,000",11.6,33.7,42.2,30.5,30.1,31.8,52.2,55.5
Island,Central Vancouver Island,Greater Nanaimo,"rate per 100,000",15.3,25.5,51.1,34.1,22.5,35.4,45.7,63.8
Island,South Vancouver Island,Greater Victoria,"rate per 100,000",9,27.3,38.3,39.8,25.7,47.3,46.5,53
Northern,Northwest,Haida Gwaii,"rate per 100,000",Surpressed,Surpressed,Surpressed,Surpressed,44.4,Surpressed,22.1,43.9
Fraser,Fraser East,Hope,"rate per 100,000",0,23.5,46.4,45.3,45.2,79.7,100.2,87.9
VCH,North Shore/Coast Garibaldi,Howe Sound,"rate per 100,000",2.5,7.5,18.9,14,4.6,4.5,20.3,4.4
Interior,Thompson Cariboo Shuswap,Kamloops,"rate per 100,000",6.9,41.4,33.3,41.4,22.3,51.3,66.6,73.8
Interior,Okanagan,Keremeos,"rate per 100,000",0,0,56.3,55.3,36.7,72.6,35.1,69.1
Interior,Kootenay Boundary,Kettle Valley,"rate per 100,000",0,27.6,27.7,0,0,54.7,82.1,54.4
Interior,East Kootenay,Kimberley,"rate per 100,000",0,31.3,0,20.5,0,0,19.3,0
Northern,Northwest,Kitimat,"rate per 100,000",0,10.4,0,0,0,10.7,31.6,72.8
Interior,Kootenay Boundary,Kootenay Lake,"rate per 100,000",0,0,0,0,0,27.6,27.4,0
Fraser,Fraser South,Langley,"rate per 100,000",6.8,20.6,24.3,21.3,14.4,22.8,34.7,23.4
Interior,Thompson Cariboo Shuswap,Lillooet,"rate per 100,000",48.3,0,Surpressed,45.4,Surpressed,73.8,99.8,74.7
Fraser,Fraser North,Maple Ridge/Pitt Meadows,"rate per 100,000",31.1,30.3,32.6,27.6,14.3,36.6,41.7,30.5
Interior,Thompson Cariboo Shuswap,Merritt,"rate per 100,000",0,70.6,78.5,42.6,25.4,17,119.3,92.6
Fraser,Fraser East,Mission,"rate per 100,000",9.1,17.7,39,27.4,25.2,25.2,39.4,67
Northern,Northern Interior,Nechako,"rate per 100,000",6.1,6,6.1,6.1,6.1,30.8,60.4,42
Interior,Kootenay Boundary,Nelson,"rate per 100,000",7.6,18.9,14.9,7.4,7.3,25.5,25.1,38.9
Fraser,Fraser North,NewWestminster,"rate per 100,000",15.1,12.1,31.7,45.5,24.9,42.4,54.3,35.4
Northern,Northwest,Nisga'a,"rate per 100,000",Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed
Interior,Thompson Cariboo Shuswap,North Thompson,"rate per 100,000",24.1,0,23.4,45.6,23.2,46.1,139.3,69.1
VCH,North Shore/Coast Garibaldi,North Vancouver,"rate per 100,000",4.8,8.8,12,10.5,7.9,14.4,11.6,11.5
Island,Central Vancouver Island,Oceanside,"rate per 100,000",8.4,16.3,20.2,13.9,15.9,41.4,31.1,24.8
Northern,Northern Northeast,Peace River North,"rate per 100,000",5.3,37.7,10.7,31.8,23.6,57.6,20.9,30.9
Northern,Northern Northeast,Peace River South,"rate per 100,000",3.6,10.7,60.3,42.2,28.1,24.7,66.5,41.5
Interior,Okanagan,Penticton,"rate per 100,000",7.1,16,38.7,35.8,49,37.9,59.6,58.8
VCH,North Shore/Coast Garibaldi,Powell River,"rate per 100,000",15,34.1,24.4,43.7,24.2,57.6,76.2,42.4
Northern,Northern Interior,Prince George,"rate per 100,000",12.2,19.1,26.8,53.6,25.1,57.3,54.3,79
Northern,Northwest,Prince Rupert,"rate per 100,000",14.2,28.3,14.1,0,14,27.9,34.4,68.1
Interior,Okanagan,Princeton,"rate per 100,000",21,0,119.5,98,19.7,56.2,56.1,18.4
Northern,Northern Interior,Quesnel,"rate per 100,000",8.4,4.1,28.8,20.4,24.6,74.1,45.6,28.9
Interior,Thompson Cariboo Shuswap,Revelstoke,"rate per 100,000",0,0,0,57,0,43.7,44.3,32.9
VCH,Richmond,Richmond,"rate per 100,000",2.9,6.7,13.3,5.6,6.1,8.8,15.3,12.2
Island,South Vancouver Island,Saanich Peninsula,"rate per 100,000",0,5.9,4.4,11.6,7.2,5.7,7.1,12.5
Interior,Thompson Cariboo Shuswap,Salmon Arm,"rate per 100,000",0,11.4,14.1,16.6,5.5,27.1,42.5,31.4
Northern,Northwest,Smithers,"rate per 100,000",5.9,5.9,11.7,35,17.3,5.7,57.1,34
Interior,Thompson Cariboo Shuswap,South Cariboo,"rate per 100,000",0,29.6,14.6,28.5,14.5,14.4,43.1,14.8
Fraser,Fraser South,South Surrey/White Rock,"rate per 100,000",5.1,5,10,22.5,5.7,16.7,17.2,16.4
Island,South Vancouver Island,Southern Gulf Islands,"rate per 100,000",0,12.4,0,6.1,6.1,12,11.4,11.2
Interior,Okanagan,Southern Okanagan,"rate per 100,000",25.9,5,14.9,29.4,9.5,14.2,18.6,32
Northern,Northwest,Stikine and Snow Country,"rate per 100,000",Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed
Interior,Okanagan,Summerland,"rate per 100,000",0,0,31.7,15.6,7.7,15.2,0,14.7
VCH,North Shore/Coast Garibaldi,Sunshine Coast,"rate per 100,000",6.6,9.6,22.4,19,9.5,21.9,37.1,27.4
Fraser,Fraser South,Surrey,"rate per 100,000",15.8,24.8,36.9,41,22.5,39,50.5,40.1
Northern,Northwest,Telegraph Creek,"rate per 100,000",Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed
Northern,Northwest,Terrace,"rate per 100,000",14.2,18.9,14.2,28.3,32.3,45.2,75.9,110.5
Interior,Kootenay Boundary,Trail,"rate per 100,000",0,9.9,24.6,9.8,14.5,19.3,28.9,23.8
Fraser,Fraser North,Tri-Cities,"rate per 100,000",6.2,9.4,18.1,15.1,7.9,18.4,25.6,20.1
Northern,Northwest,Upper Skeena,"rate per 100,000",Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed
VCH,Vancouver,Vancouver - Centre North,"rate per 100,000",121.5,215.7,283.2,321.9,217.6,366.3,452.7,470.8
VCH,Vancouver,Vancouver - City Centre,"rate per 100,000",23.6,28.2,64.5,51.4,32.8,47.3,63.4,77.6
VCH,Vancouver,Vancouver - Midtown,"rate per 100,000",11,15.9,38.2,33.7,17.1,34.8,46.6,44.3
VCH,Vancouver,Vancouver - Northeast,"rate per 100,000",5.5,12,22.6,31.9,14.9,20.8,34.2,30.2
VCH,Vancouver,Vancouver - South,"rate per 100,000",5,10.6,20.9,21.2,8.8,20.8,23.7,25.3
VCH,Vancouver,Vancouver -Westside,"rate per 100,000",4.4,8.7,6.4,7.7,4.2,6.9,11.1,4.6
Island,North Vancouver Island,Vancouver Island North,"rate per 100,000",0,8.5,8.5,8.5,25.2,16.8,42,33.3
Island,North Vancouver Island,Vancouver IslandWest,"rate per 100,000",Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed
Interior,Okanagan,Vernon,"rate per 100,000",10.3,20.2,42.7,33.7,19.4,40.9,57.7,60.8
VCH,North Shore/Coast Garibaldi,West Vancouver/Bowen Isl..,"rate per 100,000",5.8,9.5,11.3,11.1,5.7,13.1,11,9.1
Island,South Vancouver Island,Western Communities,"rate per 100,000",6.4,8.6,13.3,21.5,5.6,17.3,21.7,12
Interior,East Kootenay,Windermere,"rate per 100,000",0,40.4,30.2,9.9,0,28.3,9.2,9
Interior,Thompson Cariboo Shuswap,100 Mile House,count,0,0,1,3,2,2,6,2
Fraser,Fraser East,Abbotsford,count,25,39,53,40,44,63,85,88
Fraser,Fraser East,Agassiz/Harrison,count,0,3,5,2,1,1,5,7
Island,Central Vancouver Island,Alberni/Clayoquot,count,5,5,12,13,11,10,24,26
Interior,Okanagan,Armstrong/Spallumcheen,count,0,1,0,1,0,3,2,1
Interior,Kootenay Boundary,Arrow Lakes,count,2,0,1,2,1,2,2,2
VCH,North Shore/Coast Garibaldi,Bella Coola Valley,count,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed
Fraser,Fraser North,Burnaby,count,14,40,44,49,29,57,81,68
Northern,Northern Interior,Burns Lake,count,0,3,0,0,1,0,0,1
Interior,Thompson Cariboo Shuswap,Cariboo/Chilcotin,count,2,4,7,9,3,10,10,17
Interior,Kootenay Boundary,Castlegar,count,2,3,2,0,5,3,6,7
VCH,North Shore/Coast Garibaldi,Central Coast,count,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed
Interior,Okanagan,Central Okanagan,count,25,54,91,68,42,79,85,92
Fraser,Fraser East,Chilliwack,count,11,15,25,37,21,38,60,50
Island,North Vancouver Island,Comox Valley,count,7,11,17,15,12,14,35,37
Island,Central Vancouver Island,Cowichan Valley North,count,2,4,4,3,3,5,3,5
Island,Central Vancouver Island,Cowichan Valley South,count,5,10,13,27,13,22,27,30
Island,Central Vancouver Island,Cowichan ValleyWest,count,0,1,1,2,2,1,3,5
Interior,East Kootenay,Cranbrook,count,2,2,3,2,0,10,17,11
Interior,East Kootenay,Creston,count,0,1,0,0,0,1,2,3
Fraser,Fraser South,Delta,count,6,11,20,21,14,20,21,24
Interior,Okanagan,Enderby,count,1,1,1,4,0,5,7,2
Interior,East Kootenay,Fernie,count,0,2,0,0,1,3,0,0
Northern,Northern Northeast,Fort Nelson,count,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,3,Surpressed
Interior,East Kootenay,Golden,count,0,1,1,1,0,1,1,2
Interior,Kootenay Boundary,Grand Forks,count,0,0,4,9,3,3,5,4
Island,North Vancouver Island,Greater Campbell River,count,5,15,19,14,14,15,25,27
Island,Central Vancouver Island,Greater Nanaimo,count,17,29,59,40,27,43,56,80
Island,South Vancouver Island,Greater Victoria,count,21,65,92,97,63,117,115,133
Northern,Northwest,Haida Gwaii,count,Surpressed,Surpressed,Surpressed,2,Surpressed,Surpressed,1,2
Fraser,Fraser East,Hope,count,0,2,4,4,4,7,9,8
VCH,North Shore/Coast Garibaldi,Howe Sound,count,1,3,8,6,2,2,9,2
Interior,Thompson Cariboo Shuswap,Kamloops,count,8,49,40,51,28,65,85,96
Interior,Okanagan,Keremeos,count,0,0,3,3,2,4,2,4
Interior,Kootenay Boundary,Kettle Valley,count,0,1,1,0,0,2,3,2
Interior,East Kootenay,Kimberley,count,0,3,0,2,0,0,2,0
Northern,Northwest,Kitimat,count,0,1,0,0,0,1,3,7
Interior,Kootenay Boundary,Kootenay Lake,count,0,0,0,0,0,1,1,0
Fraser,Fraser South,Langley,count,10,31,37,33,23,37,58,40
Interior,Thompson Cariboo Shuswap,Lillooet,count,2,0,Surpressed,2,Surpressed,3,4,3
Fraser,Fraser North,Maple Ridge/Pitt Meadows,count,32,32,35,30,16,41,48,36
Interior,Thompson Cariboo Shuswap,Merritt,count,0,8,9,5,3,2,14,11
Fraser,Fraser East,Mission,count,4,8,18,13,12,12,19,33
Northern,Northern Interior,Nechako,count,1,1,1,1,1,5,10,7
Interior,Kootenay Boundary,Nelson,count,2,5,4,2,2,7,7,11
Fraser,Fraser North,NewWestminster,count,11,9,24,35,20,35,45,30
Northern,Northwest,Nisga'a,count,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed
Interior,Thompson Cariboo Shuswap,North Thompson,count,1,0,1,2,1,2,6,3
VCH,North Shore/Coast Garibaldi,North Vancouver,count,7,13,18,16,12,22,18,18
Island,Central Vancouver Island,Oceanside,count,4,8,10,7,8,21,16,13
Northern,Northern Northeast,Peace River North,count,2,14,4,12,9,22,8,12
Northern,Northern Northeast,Peace River South,count,1,3,17,12,8,7,19,12
Interior,Okanagan,Penticton,count,3,7,17,16,22,17,27,27
VCH,North Shore/Coast Garibaldi,Powell River,count,3,7,5,9,5,12,16,9
Northern,Northern Interior,Prince George,count,12,19,27,55,26,60,57,84
Northern,Northwest,Prince Rupert,count,2,4,2,0,2,4,5,10
Interior,Okanagan,Princeton,count,1,0,6,5,1,3,3,1
Northern,Northern Interior,Quesnel,count,2,1,7,5,6,18,11,7
Interior,Thompson Cariboo Shuswap,Revelstoke,count,0,0,0,5,0,4,4,3
VCH,Richmond,Richmond,count,6,14,28,12,13,19,33,27
Island,South Vancouver Island,Saanich Peninsula,count,0,4,3,8,5,4,5,9
Interior,Thompson Cariboo Shuswap,Salmon Arm,count,0,4,5,6,2,10,16,12
Northern,Northwest,Smithers,count,1,1,2,6,3,1,10,6
Interior,Thompson Cariboo Shuswap,South Cariboo,count,0,2,1,2,1,1,3,1
Fraser,Fraser South,South Surrey/White Rock,count,5,5,10,23,6,18,19,19
Island,South Vancouver Island,Southern Gulf Islands,count,0,2,0,1,1,2,2,2
Interior,Okanagan,Southern Okanagan,count,5,1,3,6,2,3,4,7
Northern,Northwest,Stikine and Snow Country,count,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed
Interior,Okanagan,Summerland,count,0,0,4,2,1,2,0,2
VCH,North Shore/Coast Garibaldi,Sunshine Coast,count,2,3,7,6,3,7,12,9
Fraser,Fraser South,Surrey,count,72,115,174,196,113,201,266,216
Northern,Northwest,Telegraph Creek,count,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed
Northern,Northwest,Terrace,count,3,4,3,6,7,10,17,25
Interior,Kootenay Boundary,Trail,count,0,2,5,2,3,4,6,5
Fraser,Fraser North,Tri-Cities,count,15,23,45,38,20,47,66,53
Northern,Northwest,Upper Skeena,count,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed
VCH,Vancouver,Vancouver - Centre North,count,78,139,186,215,147,250,306,319
VCH,Vancouver,Vancouver - City Centre,count,30,36,84,68,44,64,85,104
VCH,Vancouver,Vancouver - Midtown,count,11,16,39,35,18,37,49,47
VCH,Vancouver,Vancouver - Northeast,count,6,13,25,36,17,24,39,35
VCH,Vancouver,Vancouver - South,count,7,15,30,31,13,31,35,38
VCH,Vancouver,Vancouver -Westside,count,6,12,9,11,6,10,16,7
Island,North Vancouver Island,Vancouver Island North,count,0,1,1,1,3,2,5,4
Island,North Vancouver Island,Vancouver IslandWest,count,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed
Interior,Okanagan,Vernon,count,7,14,30,24,14,30,43,46
VCH,North Shore/Coast Garibaldi,West Vancouver/Bowen Isl..,count,3,5,6,6,3,7,6,5
Island,South Vancouver Island,Western Communities,count,5,7,11,18,5,16,21,12
Interior,East Kootenay,Windermere,count,0,4,3,1,0,3,1,1