City,population_2021,lat,lon
Abbotsford,165070,49.04879171852422,-122.32169473063347
Burnaby,260918,49.24893007892662,-122.97979986565414
Chilliwack,95798,49.159916068847,-121.96909722603444
Coquitlam,154381,49.28263346604723,-122.79661202091353
Kamloops,101603,50.889482382776066,-120.34095539894552
Kelowna,149687,50.889482382776066,-120.34095539894552
Langley,166356,49.102005534926846,-122.66038324449539
Maple Ridge,94742,49.22179482762466,-122.60736548982204
Nanaimo,101987,49.16505415385704,-123.95152384297761
New Westminster,82866,49.20783510692908,-122.90774407974455
Prince George,82326,53.92499574223163,-122.74737209063514
Surrey,614646,49.19051045358117,-122.88282842889087
Vancouver,693235,49.13652625394333,-122.32556884297766
Vernon,44916,50.36836051758316,-119.33458235059086
Victoria,94890,48.40338898355522,-123.7297626025888
Richmond,216280,49.549339302607976,-119.55308667429534
Mission,43270,49.13652625394333,-122.32556884297766
Penticton,36362,49.549339302607976,-119.55308667429534
Delta,108455,49.09532512697992,-123.02665924711486